Title,Description,Link,Category,Publication Date,article_id
Getting your home Diwali-ready,"Use simple vases, fairy lights, and flowers to give a minimalist yet budget-friendly makeover to your decor",https://www.thehindu.com/life-and-style/homes-and-gardens/festival-decor-home-interiors-brands/article67488278.ece,life-and-style,"Fri, 03 Nov 2023 17:01:40 +0530",50
Mike Tyson will fight Jake Paul in sanctioned heavyweight bout,"Tyson, 50-6 with 44 knockouts, has not won a fight since beating Clifford Etienne in 2003",https://www.thehindu.com/sport/other-sports/mike-tyson-will-fight-jake-paul-in-sanctioned-heavyweight-bout/article68126490.ece,Sport,"Wed, 01 May 2024 04:47:00 +0530",51
"And, the waiting period for Mahindra Thar is....","The Thar 2WD gets Mahindra’s D117, a 1.5-litre diesel engine that produces 118hp and 300Nm of torque.",https://www.thehindu.com/life-and-style/motoring/and-the-waiting-period-for-mahindra-thar-is/article66873115.ece,life-and-style,"Tue, 23 May 2023 08:59:39 +0530",53
‘Twisterhood’ and the school of running wizardry,"On the eve of Tower Twisters’ anniversary, a look at the systems that make this running group special",https://www.thehindu.com/news/cities/chennai/twisterhood-and-the-school-of-running-wizardry/article65261871.ece,life-and-style,"Sat, 26 Mar 2022 22:36:58 +0530",54
Bookings open for Tata Altroz CNG,"The Altroz CNG is powered by a 1.2-litre, three-cylinder engine that is paired to a 5-speed manual gearbox",https://www.thehindu.com/life-and-style/motoring/bookings-open-for-tata-altroz-cng/article66758273.ece,life-and-style,"Thu, 20 Apr 2023 12:27:26 +0530",55
Cracking the complex code called captaincy in the IPL,"Shreyas balanced both leadership and captaincy well while leading Knight Riders to their third title; despite a star-studded support staff, Cummins and Ruturaj displayed individual traits while Hardik had a tough time at Mumbai Indians",https://www.thehindu.com/sport/cricket/cracking-the-complex-code-called-captaincy-in-the-ipl/article68222947.ece,Sport,"Tue, 28 May 2024 00:31:27 +0530",56
HOCKEY | Jharkhand bests Chandigarh in a clash that initially failed to live up to its billing,"Bengal majestic in its victory over Jammu and Kashmir, it will now clash with Manipur to find table topper in Group E",https://www.thehindu.com/sport/hockey/hockey-jharkhand-bests-chandigarh-bengal-to-clash-with-manipur-to-find-table-topper/article67562027.ece,Sport,"Wed, 22 Nov 2023 19:38:26 +0530",57
How India’s mixologists are curating history-inspired cocktail menus,"The menus delve into different aspects of history — the heritage of a city, of a place, ingredients that have stood the test of time, and even, classic drinks",https://www.thehindu.com/food/features/how-indias-mixologists-are-curating-history-inspired-cocktail-menus/article67697802.ece,life-and-style,"Mon, 19 Feb 2024 13:02:56 +0530",58
"How to do a push-up, for beginners",Learn the right technique to do push-ups from experts,https://www.thehindu.com/life-and-style/fitness/how-to-do-a-push-up-for-beginners/article34301849.ece,life-and-style,"Mon, 12 Apr 2021 16:16:28 +0530",59
Archana Kochhar’s Miss World marvel: A fashionable fusion journey celebrating India’s rich tapestry,"Archana Kochhar unveils her stunning collection for the 71st Miss World pageant, paying homage to India’s rich craftmanship with a vibrant array of styles and textures",https://www.thehindu.com/life-and-style/archana-kochhars-miss-world-marvel-a-fashionable-fusion-journey-celebrating-indias-rich-tapestry/article67950249.ece,life-and-style,"Fri, 15 Mar 2024 15:06:44 +0530",60
